balloon_id,latitude,longitude,risk,closest_aircraft_distance_km
balloon_185,53.07767192927318,49.89900105158389,Near Aircraft,7.587546400260677
balloon_500,38.428971704895346,-75.64217723759847,Near Aircraft,6.875205176079577
balloon_529,53.88124685083153,22.8240887028291,Near Aircraft,4.047323943432382
