icao,latitude,longitude,velocity,heading,vertical_rate,on_ground
a94b50,34.5541,-117.6759,202.38,283.82,0.0,False
0d0acd,40.286,-116.1537,207.29,318.12,-0.33,False
abad94,33.3413,-100.2231,277.89,107.56,0.0,False
ad9d88,32.6632,-107.1954,55.82,160.06,0.0,False
708028,13.6941,101.0432,93.49,74.36,5.2,False
a7bbe9,40.9107,-73.1661,224.51,41.47,-8.13,False
3c65a2,47.0581,16.7611,227.35,286.84,0.0,False
adda24,32.3519,-80.2322,207.83,186.97,0.98,False
a94b4b,41.4741,-95.8017,177.08,265.17,0.0,False
4b187c,41.5563,-72.5945,288.46,73.63,6.18,False
4b187d,49.7207,-6.0499,249.86,96.03,0.0,False
4b187e,42.2433,-69.7364,285.22,78.35,6.18,False
4b187f,45.0858,-58.6708,283.42,70.71,0.0,False
3c65ae,45.4144,23.2947,222.78,293.55,0.0,False
aae1ea,49.3297,-7.8654,266.89,94.75,0.0,False
4b1885,44.9878,-75.7067,274.44,69.59,0.0,False
4b1886,45.7417,21.7833,210.97,293.88,0.0,False
a02a1a,33.7239,-118.4724,188.98,2.5,12.35,False
e8020c,-7.9625,-79.1769,231.24,152.58,0.0,False
a5829d,42.8179,-84.3223,175.07,70.61,-1.3,False
a05776,32.2256,-106.1775,212.19,287.2,0.0,False
861f44,25.4138,121.6458,157.13,239.07,-1.95,False
4b1882,45.1967,19.1593,201.78,295.85,0.0,False
a6f23d,47.4996,-94.2421,199.77,286.15,-0.33,False
ac1afa,39.5956,-76.5377,154.79,167.72,-4.23,False
e492d0,-15.5456,-45.6894,234.46,339.18,-0.33,False
acd481,36.7538,-84.7265,284.74,69.37,-0.33,False
4acb23,25.4217,54.6515,163.85,287.35,8.13,False
e8021d,33.5639,-84.2019,85.91,0.0,0.33,False
872c0c,43.0343,141.5426,69.64,122.63,0.0,False
3455c1,38.32,-105.4163,281.29,77.11,0.0,False
acd486,32.453,-93.7733,202.44,267.09,0.0,False
a6f280,43.6159,-117.3159,229.27,201.73,-0.65,False
ad41cd,40.8814,-75.3437,163.21,252.76,1.95,False
3c65ce,45.8917,6.0257,209.38,0.28,0.0,False
a34291,49.6456,10.8835,258.7,120.34,0.0,False
46b82d,35.7132,30.1509,218.05,293.06,0.0,False
a94b48,37.9832,-117.9623,182.18,262.37,0.0,False
a5d28e,31.9352,-81.0632,282.6,25.21,0.0,False
c0226c,47.0658,-122.4707,211.57,320.43,0.0,False
8686cc,35.5979,139.8057,73.77,232.65,-3.58,False
a33aa0,35.0121,-97.9727,70.09,220.24,0.0,False
a6eb1d,31.513,-89.887,180.85,275.39,0.0,False
a41412,33.6397,-84.4421,0.0,270.0,,True
c07bbe,43.6552,-112.1777,225.15,356.86,0.0,False
7c6b06,-33.8932,150.8065,45.84,260.96,2.93,False
a1a110,27.9336,-82.7875,198.58,0.3,9.1,False
a27d65,32.4526,-83.6888,31.78,299.05,0.65,False
ac4917,28.7314,-111.3226,236.44,126.6,0.0,False
