balloon_id,latitude,longitude,altitude,speed_kmh,direction_deg,speed_kmh_1h,speed_kmh_2h,speed_kmh_3h,speed_kmh_5h,speed_kmh_7h,speed_kmh_8h,speed_kmh_10h,speed_kmh_17h,direction_deg_1h,direction_deg_2h,direction_deg_3h,direction_deg_5h,direction_deg_7h,direction_deg_8h,direction_deg_10h,direction_deg_17h
balloon_510,-1.18441789348189,-134.03406053460182,2.245045259895022,46.73997742157083,246.6633992300138,46.73997742157083,56.072511652726746,55.469587987784685,54.899207987898905,54.116118909450854,53.43520518022345,52.672526216369434,50.62790573365817,246.6633992300138,248.05490354907573,249.3697668715488,251.53786055221667,254.5157108195706,256.94807711978603,259.22957247840833,266.91407911591256
balloon_511,-2.2469889094460775,-132.88682422343743,9.889090819753491,57.70511507742941,310.8117490794822,57.70511507742941,72.84975174312599,76.89322445469101,82.86591310014552,90.69915481557142,96.5317622270904,102.59653695001994,118.81494398727624,310.8117490794822,307.97347021680815,305.32714760628807,301.16426688783633,295.94958038792964,292.2664209473659,288.29437797096375,276.85645744547276
balloon_512,-55.913968648813984,-167.1030063193165,2.0539619628742756,59.95253466613192,12.193384699807725,59.95253466613192,67.1944531234106,61.94729571794897,54.07377902144191,43.5492675965776,35.778817314116104,28.294933539066022,15.237989729396608,12.193384699807725,13.257485640468415,14.391644022662376,16.609071318027418,20.645469491899178,25.27902179779204,32.55910565932879,96.3222329275311
balloon_513,37.98873169080948,-156.41049338486616,18.713213058936248,67.30490629083965,316.68115476393655,67.30490629083965,79.96470410234295,79.07088382793238,77.55278018949325,75.1710636144503,73.38812600974867,71.18463900568753,63.95945007502784,316.68115476393655,317.57341504655733,318.6297815029813,320.3652875618939,322.373482662724,323.81442572879206,325.74211372451987,332.0568914397337
balloon_514,-80.38271741134706,-111.61557510794982,15.157776235951156,75.53363335105786,159.45549223393257,75.53363335105786,90.60474122643072,90.44504043302128,90.28276868584044,89.98726403560185,89.68723643643827,89.46473130362077,88.65162227116251,159.45549223393257,157.00333669215468,153.68529755176485,149.0309281349081,138.43482307420527,123.81835204650184,112.98098187245648,83.83469818543244
balloon_515,40.66288149611953,-48.860646835861296,7.39731740806722,67.89270368326457,325.303745377381,67.89270368326457,77.9773224302482,74.56880351446337,70.10830298070044,66.05251142461421,64.35299993612337,63.69741953976518,66.62319786681174,325.303745377381,328.995549390225,333.33802859126246,340.17499933924006,349.8220034494953,357.2488063625381,4.395284169320121,21.848849466742024
balloon_516,-68.56162934375381,16.720958636154073,2.177005011484116,150.0993159512726,97.19755333693188,150.0993159512726,173.0328849302934,165.48799476088536,153.9607314907609,139.3237623646624,129.2546668832144,119.20558638873568,93.23012988803974,97.19755333693188,99.48126347732016,101.84883569179937,107.74184621183464,113.83897564629537,117.73661096254916,125.1187954543086,151.8662074252773
balloon_517,64.34678868446368,-59.10664664367921,14.239586497676775,9.591766307229776,112.97743311222372,9.591766307229776,11.464181818694088,11.357615390923714,11.312004709379725,11.27245088065388,11.141120149616416,11.107887570343852,10.913138526022824,112.97743311222372,111.6402921193345,110.08472150962666,107.64078666768938,103.9372197211784,101.30109774976631,98.12679393522956,86.58623692276967
balloon_518,-80.07584190975102,111.42186391640818,8.186474009726153,53.93980584053642,58.68991705040685,53.93980584053642,58.97521631188751,53.38135594446077,47.68558086036747,46.235393244169195,50.379540804147446,57.39795912093866,87.60130585418305,58.68991705040685,49.98520581678281,39.6313836584406,22.876632274645317,357.8336307799995,341.9062768127446,329.7394158569695,311.55189255868174
balloon_519,-65.1291263232805,43.32250573101444,8.224193718123084,120.32106229553018,315.6661308441816,120.32106229553018,141.34444991478506,137.78444347817313,132.71760380316297,125.53957170341926,120.22948358094112,114.946786637001,99.12845562892116,315.6661308441816,315.1741723284302,314.7324396114283,313.0294358996704,311.3921313363993,310.60024348591344,308.143193871402,298.60027271641684
balloon_520,-24.934281092880415,-115.36194243407516,12.030907416577808,133.74645765484922,59.23482417806895,133.74645765484922,164.07990928525462,167.92053815127036,173.29829534663216,179.9313687673594,184.35917807390484,188.62148650251916,197.5588830216641,59.23482417806895,60.03530257293045,60.87896647916642,62.36390102480101,63.67354184096939,64.338872258663,65.43595804936064,68.5633828290342
balloon_521,-15.840294261720407,-161.66536742057107,19.539181193734215,52.90089645914395,174.68607730177075,52.90089645914395,62.24017121334164,64.35067589470323,73.56891884080726,92.78165262343192,109.68505749189406,127.71864269459216,181.40921717550728,174.68607730177075,161.93810856720927,148.20356069184163,131.02554829025814,115.37031714226288,107.68442781501268,102.53435528898922,95.48280587954604
balloon_522,24.725500373003253,-29.27520405951344,7.568766407059862,122.8800161113974,129.1608220518575,122.8800161113974,141.87539611113266,135.52970239238002,126.58626618929618,116.61920930071514,110.6668035864235,105.6678283852916,96.4100483694355,129.1608220518575,135.16018578840306,141.85456290707373,151.62809866594773,165.04866252907254,175.1485016224085,184.86810083137323,211.24768281219536
balloon_523,17.723038626470917,-127.8440627055424,2.2582547653192986,394.40741904679777,3.802607232178161,394.40741904679777,482.4815299808798,491.56116353182375,500.0,500.0,500.0,500.0,500.0,3.802607232178161,5.950245666265857,8.377939821385382,12.048721805563844,17.801422015097046,23.90279040284304,29.45101356568449,46.46171357008643
balloon_524,-42.05527787003312,-69.73060273682871,10.974554087170985,51.40218358987261,113.45742225709256,51.40218358987261,75.91055873325966,92.10657274189442,116.63039694100412,149.68975318255448,174.1592261911916,198.56497178767597,267.5926523664079,113.45742225709256,118.88245457354468,122.82362260222568,126.58528695358508,128.7887442045522,128.71819061414783,129.2324260881096,130.25599261848322
balloon_525,-45.20728049192186,74.5607472909597,21.699310473820713,80.28608536061019,344.6107710570137,80.28608536061019,94.10812554035992,91.53417430430748,87.59689131089311,81.8976072533303,77.1652257296554,72.46407184042073,56.62792282553901,344.6107710570137,344.2985685497433,344.01931868055806,343.74616717258425,343.67964417812925,343.98428599820454,344.3741397473001,347.8736443214769
balloon_526,18.678053054359925,159.3908595865492,3.4062698082917517,258.9972622289607,72.20514826712053,258.9972622289607,313.3203156996229,315.35614821915993,317.7561359928451,319.49729408643265,319.70236345924263,318.7784625007752,309.45235774309964,72.20514826712053,71.3573053897386,70.43341705678824,68.58533442411891,66.84030987053592,66.21840871113147,64.43447116532707,57.68663577062375
