hours_ago,latitude,longitude,altitude,balloon_id,speed_kmh,direction_deg,time_diff
0,-52.45479336429197,34.472959157773424,19.072074386631197,balloon_0,62.72712819566249,121.45952069353103,1.0
1,-52.74655444125642,35.26789175655003,19.627924888447158,balloon_0,62.72712819566249,121.45952069353103,1.0
2,-53.05902883763561,36.26950493934739,20.22696732689233,balloon_0,75.63024273896191,117.74773976489973,1.0
4,-53.562498069095845,38.400208779366615,21.180553930631866,balloon_0,76.10820411655703,112.43008875367002,2.0
5,-53.75392728065856,39.51713315646419,21.525899650681797,balloon_0,76.61421031176322,106.58006466859933,1.0
7,-54.0148864408821,41.82822215242874,21.937178030647157,balloon_0,77.10798903466605,101.77700005299255,2.0
12,-54.04074661319956,47.79491525230128,21.285418795264235,balloon_0,77.92202249565608,92.83755043496461,5.0
14,-53.846200399084886,50.1652920373793,20.379177289280836,balloon_0,78.31423746510376,83.02099655006111,2.0
18,-53.23303112359931,54.76866525396948,17.642024331077376,balloon_0,77.91876471303192,79.2246192338543,4.0
21,-52.66852551552305,58.08506671086083,14.993083027421727,balloon_0,76.95154032758784,75.55198717289085,3.0
0,-3.3562673509895875,136.65368178155546,5.1891506311201,balloon_1,38.787509799110786,44.91735366522573,1.0
1,-3.1092254022549217,136.90034421277628,3.6000605409703272,balloon_1,38.787509799110786,44.91735366522573,1.0
2,-2.8095687337839705,137.19222652925467,2.377988000813586,balloon_1,46.48454984475755,44.21644070355376,1.0
5,-1.8945582299482417,138.05266075022553,3.8444732577155722,balloon_1,46.53578936023843,43.233709551311165,3.0
7,-1.2700402566822095,138.60470790003947,8.492563171809593,balloon_1,46.334519128562675,41.47244491432468,2.0
12,0.34231828781240353,139.89299917334063,21.04329884286534,balloon_1,45.896309905207836,38.631618185756224,5.0
14,1.0054513111848882,140.36118682724913,21.881148517211162,balloon_1,45.130359178945334,35.21867960660444,2.0
18,2.3541227599201022,141.20148930571057,14.239959618105022,balloon_1,44.16748281616173,31.90304448659623,4.0
21,3.3818797037836954,141.74073296780261,5.813496383705237,balloon_1,43.007068505043804,27.64256906695556,3.0
0,-18.02833806261326,-44.97843723290517,2.0462905671938483,balloon_10,220.29687807235194,313.58226853359264,1.0
1,-16.65685975748357,-46.476302969889694,3.189793575409542,balloon_10,220.29687807235194,313.58226853359264,1.0
2,-14.951291883496886,-48.204673118880194,6.336421007749822,balloon_10,264.87694792292297,315.48475530769895,1.0
4,-11.372232772544079,-51.42832546424466,15.425772013143607,balloon_10,264.65172086479026,318.36861236918764,2.0
5,-9.512966088549714,-52.92752391421689,19.34861189824578,balloon_10,263.8488781570648,321.447469111395,1.0
7,-5.685483669878186,-55.71127807676079,21.787741446701403,balloon_10,262.31386724520553,324.01683818721096,2.0
12,4.190153404172138,-61.54017124661788,3.506479701379762,balloon_10,254.93891724469594,329.3608464587639,5.0
14,8.138183948766791,-63.477839691319616,2.7727256334977746,balloon_10,244.2285266310183,334.0871394994928,2.0
18,15.797118682964376,-66.80065654608256,18.655628159937763,balloon_10,231.26081678191727,337.3269705582558,4.0
21,21.18469356794094,-68.88977541021293,20.33715804157493,balloon_10,212.7525414958699,340.1319280062152,3.0
0,34.32948804401491,25.60883805150617,4.4779516207290975,balloon_100,70.25499119178407,56.11774677226197,1.0
1,34.68006770067481,26.24668248867853,7.342809892780037,balloon_100,70.25499119178407,56.11774677226197,1.0
2,35.08751478855267,27.01114688753614,11.560109234758311,balloon_100,83.15584068968715,56.76878058222235,1.0
4,35.846019666137316,28.54426481986434,19.424778264087024,balloon_100,81.2250377600819,58.279915279387694,2.0
5,36.18859644194261,29.31456246331148,21.57175485241084,balloon_100,79.06119599264855,60.9701231010431,1.0
7,36.79031864458615,30.865482760836894,20.3257727831171,balloon_100,76.97241588079602,63.77930527977145,2.0
12,37.63824982773832,34.82353472325709,2.615950713978817,balloon_100,72.58514770215807,73.75221358957651,5.0
14,37.65592063722583,36.43082154291084,3.3616016692199633,balloon_100,70.76097382599403,88.71365380674217,2.0
18,37.020974952345945,39.62126994591208,18.58305159527947,balloon_100,72.6861098003028,103.08178759353967,4.0
21,35.89019289730024,41.91104858950016,20.920862024689086,balloon_100,80.09905343954556,120.86510169888174,3.0
0,-33.43393420363572,31.36690633222879,3.3027385120745834,balloon_101,164.32318576732183,156.8650438386876,1.0
1,-34.79088959957653,32.073853148157276,4.362527865393503,balloon_101,164.32318576732183,156.8650438386876,1.0
2,-36.413934174313525,32.88152825411561,5.9769116761696655,balloon_101,194.684975263148,158.20533685169107,1.0
4,-39.63183551089589,34.34847640148412,10.003154315235692,balloon_101,190.08561255348934,160.69441800860352,2.0
5,-41.22336631905738,35.00000627336003,12.21608552186741,balloon_101,185.36220069159063,162.9022148601124,1.0
7,-44.352912229173235,36.13186166981221,16.50177867385753,balloon_101,180.0138172384749,165.51779104064758,2.0
12,-51.73934903176808,37.7373889852256,21.999552434432037,balloon_101,165.98084538636562,172.32411904167975,5.0
14,-54.45777651303757,37.79596386439755,20.983421110701634,balloon_101,151.15030604633526,179.2821121156352,2.0
18,-59.36675584494172,36.69851639090903,14.234320470144581,balloon_101,137.47096715913653,186.50046135951206,4.0
21,-62.494379297072555,34.66979720227576,7.716496233906077,balloon_101,121.53105207860311,196.609425978458,3.0
0,-63.292699420326315,67.79345321151314,16.360852401338494,balloon_102,36.92997267781078,114.7058884420656,1.0
1,-63.42992484285382,68.46801039515944,19.295227076944357,balloon_102,36.92997267781078,114.7058884420656,1.0
