icao,latitude,longitude,velocity,heading,vertical_rate,on_ground
ad9d88,32.6717,-107.199,56.3,160.24,0.0,False
708028,13.69,101.028,93.49,74.36,5.2,False
a7bbe9,40.8826,-73.1988,227.8,41.43,0.0,False
3c65a2,47.0473,16.8132,227.85,286.8,0.0,False
adda24,32.3854,-80.2273,207.32,186.98,0.0,False
a94b4b,41.4765,-95.764,177.08,265.17,0.0,False
4b187c,41.5431,-72.6542,286.34,73.62,7.48,False
4b187d,49.7248,-6.1107,250.32,95.9,-0.33,False
4b187e,42.2349,-69.7984,280.06,84.62,5.85,False
4b187f,45.0587,-58.7799,283.42,70.71,0.0,False
3c65ae,45.3999,23.342,222.78,293.55,0.0,False
aae1ea,49.3339,-7.9304,267.24,96.63,0.0,False
4b1885,44.9725,-75.7646,273.96,69.56,0.0,False
4b1886,45.7281,21.8272,210.5,293.93,0.0,False
a02a1a,33.6935,-118.4738,189.42,1.87,12.68,False
e8020c,-7.9204,-79.1987,231.01,152.69,-0.33,False
a5829d,42.8087,-84.3576,181.26,70.43,-3.9,False
a05776,32.2154,-106.1387,211.69,287.25,0.0,False
861f44,25.4272,121.6701,157.4,238.91,-1.95,False
4b1882,45.1826,19.2006,201.78,295.85,0.33,False
a6f23d,47.4907,-94.1969,199.91,286.29,-0.33,False
ac1afa,39.6201,-76.5446,155.9,167.61,-4.88,False
e492d0,-15.5808,-45.6756,234.46,339.18,0.33,False
acd481,36.7372,-84.7808,285.4,69.31,0.0,False
4acb23,25.4137,54.6794,163.7,287.18,7.15,False
e8021d,33.5505,-84.2027,87.56,16.73,-1.95,False
872c0c,43.0343,141.5426,69.56,126.28,-0.65,False
3455c1,38.3101,-105.4718,282.29,77.15,-0.33,False
acd486,32.4546,-93.7358,202.41,267.23,0.0,False
a6f280,43.6499,-117.2972,228.79,201.78,0.33,False
ad41cd,40.8891,-75.3109,154.58,252.77,1.95,False
3c65ce,45.8591,6.0255,209.38,0.28,0.0,False
a34291,49.6668,10.8275,258.44,120.24,-0.33,False
46b82d,35.7132,30.1509,218.05,293.06,0.0,False
a94b48,37.9856,-117.9395,182.69,262.39,0.0,False
a5d28e,31.8944,-81.0857,283.07,25.17,0.0,False
c0226c,47.0399,-122.4394,211.57,320.43,0.0,False
8686cc,35.6035,139.8187,73.55,258.3,-3.9,False
a33aa0,35.0212,-97.9635,70.87,219.7,0.65,False
a6eb1d,31.5103,-89.853,180.29,275.24,-0.33,False
a41412,33.6397,-84.4421,0.0,270.0,,True
c07bbe,43.6552,-112.1777,225.15,356.86,0.0,False
7c6b06,-33.8922,150.8154,44.86,266.05,1.95,False
a1a110,27.9015,-82.7877,197.03,0.3,7.15,False
a27d65,32.4501,-83.6834,32.67,296.16,-0.33,False
ac4917,28.7541,-111.3573,236.44,126.6,0.0,False
a72567,35.6626,-108.1824,284.71,72.22,-0.33,False
acd47e,42.1645,-107.2625,183.59,296.64,0.0,False
ac2f18,33.6482,-110.8005,274.77,71.67,7.15,False
a4c592,41.1953,-73.2516,224.67,24.63,7.8,False
a94b29,39.1914,-76.1652,274.72,36.55,-10.08,False
a8584a,29.489,-80.6352,205.07,185.18,-6.5,False
861f00,33.4599,135.0771,174.45,240.11,0.0,False
a95212,45.8568,-122.718,95.91,260.74,-0.33,False
a70b2f,40.2809,-84.0231,190.48,299.27,-0.65,False
a71e5c,37.5052,-84.6398,187.92,248.99,0.33,False
a915cf,40.075,-86.9042,276.27,132.96,-0.65,False
80039d,12.944,77.568,74.74,86.45,-2.28,False
ab1628,41.5473,-91.9113,196.53,330.35,0.0,False
abd9b6,39.5204,-107.3854,183.62,247.6,-0.33,False
851958,41.374,140.321,215.58,206.2,0.0,False
c01b4f,51.5852,-97.6919,218.39,286.98,0.0,False
a247f0,34.1427,-119.169,184.0,311.71,9.43,False
a0dab2,39.9864,-105.9179,162.38,273.63,5.2,False
7c48a4,-27.973,153.2655,56.77,316.47,0.0,False
a69b86,36.4595,-79.9061,160.94,213.79,-4.88,False
aa56f8,33.2979,-95.9779,222.81,4.1,0.0,False
a94b05,41.023,-74.6042,193.97,327.79,13.0,False
a94b02,35.0244,-100.4426,265.87,137.82,0.0,False
ac2f37,40.4016,-101.2909,281.47,80.11,0.0,False
a94b08,31.2428,-102.3645,206.33,280.78,0.0,False
a29748,32.9728,-96.6973,153.21,85.76,18.53,False
8014a4,19.4513,75.8387,236.92,352.89,0.0,False
800dac,18.4643,74.1899,252.09,114.47,0.0,False
800dab,22.5014,85.2571,267.1,69.72,0.0,False
7cf9ea,-31.6782,116.0158,63.69,353.51,-3.9,False
aa441c,39.1963,-69.3344,337.14,62.07,5.85,False
aa07f9,40.5269,-100.4664,177.57,258.3,0.0,False
c82454,-43.4822,172.5288,0.0,0.0,0.0,False
c0482a,44.8592,-73.5162,220.38,2.41,-15.61,False
7c7cd0,-37.6652,144.5008,190.79,295.04,16.91,False
7c7cd1,-34.7439,149.3879,255.55,56.66,-11.05,False
7c7ccf,-35.7569,140.916,263.99,113.67,5.2,False
885225,15.9981,100.333,267.61,15.61,6.5,False
885222,-0.6714,104.9991,250.66,159.71,0.0,False
8014b0,13.1909,77.538,66.88,90.44,-3.25,False
a737c7,29.0059,-81.9473,263.22,18.58,0.33,False
7cf9e8,-31.617,115.8912,119.02,30.67,1.3,False
c0481c,43.3215,-79.4597,127.73,229.57,-0.33,False
7cf9e9,-31.5105,116.3814,137.31,287.89,1.95,False
7cf9e2,-32.6912,116.4349,89.19,106.76,-7.8,False
7cf9e1,-31.6787,115.6094,110.64,271.33,9.75,False
c8244a,-43.5349,172.3213,65.56,18.29,0.0,False
c8244b,-44.6808,170.8242,121.95,47.22,0.33,False
c8244c,-38.8504,175.0378,141.4,6.69,-5.2,False
861e9a,35.5169,137.7456,183.7,260.33,0.33,False
a0dae2,33.2835,-95.507,261.14,72.46,5.53,False
e4808c,-16.7409,-39.7735,224.36,27.74,-0.33,False
ad072a,40.9858,-73.6448,88.32,329.55,-0.33,False
7c362d,-32.1696,116.8122,66.7,174.25,2.28,False
a28461,31.9751,-82.9721,145.7,216.38,-5.85,False
7cf9d5,-7.3344,112.7383,237.92,140.53,0.0,False
a64d4d,38.4704,-75.566,168.79,208.99,0.0,False
aaa74e,33.3129,-84.5046,35.29,306.7,-1.95,False
a65449,44.5448,-92.1841,238.59,124.55,7.8,False
800da0,13.1909,77.5379,77.68,90.38,-3.9,False
a1512f,37.3444,-122.2487,185.43,129.03,11.05,False
800da3,29.417,76.0108,204.81,332.15,7.15,False
ab5d4a,32.3337,-95.0925,183.89,272.89,0.0,False
ab14d9,35.3116,-81.4781,304.04,53.32,-0.33,False
a91700,26.0749,-79.9749,84.91,271.39,-4.55,False
00b1f2,-31.8401,115.397,140.28,105.31,-2.93,False
84d28e,33.8102,133.3693,308.45,75.31,0.0,False
a70aa1,44.7181,-121.9042,219.1,335.0,0.0,False
75833c,22.181,114.0895,183.66,165.73,9.75,False
c81d95,-46.4116,168.3138,25.0,143.37,-1.63,False
86d5fa,35.4374,139.4891,156.74,282.9,13.98,False
8014e5,24.7933,84.3122,191.06,303.13,0.0,False
a6f28c,41.239,-86.8061,159.74,316.44,-5.85,False
861e70,37.1245,137.2627,210.3,223.81,-0.33,False
c81d9d,-37.6108,174.7503,191.32,342.15,-2.93,False
861e78,33.6562,136.5419,280.77,96.73,-5.53,False
ac1ab8,38.0486,-80.2658,279.18,72.3,0.33,False
85188c,34.7721,135.0616,178.96,251.04,0.33,False
758337,14.5013,120.2084,216.13,255.1,6.18,False
accd23,40.2532,-92.1329,159.48,323.13,-5.2,False
861e4e,34.3488,139.6015,198.66,85.54,-3.9,False
758335,34.7852,140.6818,182.49,7.13,-5.53,False
86cec5,33.5199,136.2039,192.64,209.78,5.85,False
78203b,23.1722,113.6818,220.86,191.96,0.0,False
49530d,43.5924,-70.5426,181.24,229.03,0.0,False
8014ed,28.1462,77.2334,124.84,9.97,-5.53,False
758306,35.7754,140.3935,1.29,239.06,,True
758305,33.5193,137.3677,267.53,41.41,-2.28,False
8014c1,23.5319,84.8547,181.3,297.0,12.68,False
7c1c5c,-25.1925,151.9268,133.15,322.38,0.0,False
861e92,35.5821,139.9176,140.81,26.0,6.5,False
495308,36.3501,-9.3317,217.73,1.9,0.0,False
abc780,40.6168,-101.6335,178.43,256.32,-4.88,False
ac1ad7,35.9295,-82.876,177.79,235.85,0.0,False
acba1b,39.7992,-86.4311,192.64,252.44,0.0,False
a2cd7e,37.4031,-77.5119,30.46,195.68,-2.6,False
a2ba4f,38.3654,-79.9982,216.0,6.7,0.0,False
8014bc,13.1938,77.9165,179.24,177.2,17.56,False
a4bdb9,40.7747,-73.874,0.0,98.44,,True
a4d7e4,36.0737,-114.9906,93.63,270.0,-4.23,False
86cee7,34.579,137.2949,176.28,239.09,-0.33,False
7c1013,-37.9749,145.0797,35.82,102.44,-2.28,False
8014d0,28.3136,77.4226,119.0,24.79,-6.18,False
8014ce,28.5822,77.0195,120.84,285.81,15.28,False
c04814,38.6612,-77.3904,183.41,223.41,0.0,False
ac712d,38.5948,-121.2141,193.0,101.22,13.66,False
8a03b0,-0.5751,104.8575,225.84,157.64,6.18,False
a09322,41.3378,-88.2108,178.46,198.49,11.05,False
acd2be,32.5829,-110.2833,263.23,101.73,0.0,False
a99a3d,42.4226,-87.9903,177.07,348.27,0.65,False
0d0b4b,31.2803,-114.1932,214.77,304.76,0.0,False
7c4910,-32.0434,151.1097,86.34,166.21,0.0,False
a94ae5,28.0042,-81.6857,208.76,169.49,0.0,False
a99a52,29.5899,-83.7456,255.24,150.54,0.0,False
a64172,33.4615,-112.3655,51.86,100.86,-2.93,False
3c5429,45.6171,8.724,12.35,348.75,,True
0d0b66,-9.6617,-78.4172,235.51,143.08,0.0,False
e4803d,-4.5111,-39.0346,207.06,23.89,-12.35,False
e48044,-19.8068,-42.7966,216.78,49.62,0.0,False
ac82f5,34.1814,-93.898,174.45,248.73,0.0,False
a1c6a8,34.333,-117.7229,261.68,56.06,6.83,False
7809b9,41.1453,40.8228,224.6,259.31,0.0,False
7809ae,24.5496,118.1425,5.92,143.44,,True
aae27f,26.6479,-98.2156,142.44,355.44,7.15,False
e48c4c,-8.0055,-36.0721,220.45,56.9,-14.31,False
3c5433,49.0355,9.0346,226.65,224.17,-5.2,False
3c5431,51.4481,12.4313,134.89,7.45,16.26,False
3c542f,59.6395,17.9267,0.06,208.12,,True
a831e5,37.6212,-122.3824,4.63,225.0,,True
c87f37,-40.4014,175.0691,106.35,15.72,-8.13,False
0d0b91,30.2636,-112.5595,218.23,310.41,0.0,False
a594fa,37.3781,-81.5327,190.35,179.54,0.0,False
3c6706,44.1244,-62.2732,297.38,68.27,-0.33,False
3c6704,39.4008,-97.6938,297.43,74.45,0.0,False
a5d1b9,42.5733,-81.7139,206.99,278.43,0.0,False
3c6703,46.2553,20.7577,227.08,297.09,-0.33,False
a08038,31.0928,-89.0352,128.17,282.75,-0.33,False
a46304,19.3756,-99.2095,107.88,113.02,-5.2,False
0d0b13,29.8624,-111.7958,210.53,319.46,0.98,False
7809ce,22.6529,113.5046,204.72,195.75,0.0,False
5003bd,-21.7126,-48.9934,245.97,12.93,0.0,False
7809cd,22.6133,114.0361,133.51,76.18,-5.53,False
a88d47,35.5389,-84.7023,220.65,356.26,0.0,False
a75a2d,40.5405,-89.0417,200.33,227.91,0.98,False
a7d754,36.5395,-82.4773,164.82,239.83,-7.48,False
a95dd3,34.2926,-80.048,269.15,20.83,0.0,False
0d0b0c,39.2747,-81.5336,246.52,36.94,-6.18,False
7809e9,25.6976,116.7824,183.31,230.01,0.0,False
a27cdd,30.2452,-81.3199,124.22,3.56,5.2,False
a7d751,30.1353,-80.5065,198.42,189.85,-4.55,False
7809e3,25.134,118.8037,256.61,51.43,0.0,False
3c6712,44.7606,25.4948,225.82,294.64,0.0,False
3c6716,41.9702,-87.896,0.0,115.31,,True
801603,19.28,73.3381,125.01,270.47,-4.88,False
7809df,22.1338,113.4984,220.13,160.76,0.0,False
a1034e,34.4088,-119.5852,50.77,340.46,-0.33,False
a21c4c,33.4372,-111.9958,0.0,0.0,,True
801607,23.3198,90.7879,178.18,252.87,6.18,False
a34f53,33.0707,-111.5447,147.27,299.97,0.0,False
a030a8,40.7756,-73.8669,3.34,123.75,,True
a7745c,26.8325,-79.591,197.33,198.39,-10.4,False
0d0b35,29.1427,-112.8505,236.08,134.91,0.0,False
3c670a,43.1434,28.2632,227.67,299.81,0.0,False
a1bfde,32.0595,-97.3147,56.82,5.19,0.0,False
a8943d,33.9681,-110.4762,272.77,67.26,4.88,False
a6eacf,37.8627,-102.1439,202.13,284.14,0.0,False
7c2f04,-27.2026,153.0468,32.32,166.18,-3.25,False
